# mapping_set_id: https://w3id.org/lmodel/nist-sp-800-53/mappings/nist-sp-800-53-to-oscal
# mapping_set_version: "1.0.0"
# mapping_set_title: "NIST SP 800-53 to OSCAL LinkML Schema Mappings"
# mapping_set_description: >-
#   Cross-schema mappings between the nist-sp-800-53 LinkML schema
#   (https://w3id.org/lmodel/nist-sp-800-53) and the oscal LinkML schema
#   (https://w3id.org/lmodel/oscal). Covers catalog and profile modules only;
#   OSCAL SSP, AP, AR, POA&M, and component definition modules are out of scope
#   for the NIST SP 800-53 schema. CPRT-specific classes have no OSCAL counterpart.
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_tool: "manual curation + name-based analysis"
# mapping_tool_version: "1.0"
# curie_map:
#   nist_sp_800_53: "https://w3id.org/lmodel/nist-sp-800-53/"
#   oscal_catalog: "https://w3id.org/lmodel/oscal_catalog/"
#   oscal_profile: "https://w3id.org/lmodel/oscal_profile/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
#   semapv: "https://w3id.org/semapv/vocab/"
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	comment
nist_sp_800_53:Catalog	Catalog	skos:closeMatch	oscal_catalog:CatalogDocument	CatalogDocument	semapv:ManualMappingCuration	NIST Catalog wraps CatalogBody under a catalog slot; oscal_catalog:CatalogDocument wraps Catalog under a catalog slot. Structural equivalents at the document level.
nist_sp_800_53:CatalogBody	CatalogBody	skos:exactMatch	oscal_catalog:Catalog	Catalog	semapv:ManualMappingCuration	NIST CatalogBody IS the oscal_catalog:Catalog object; renamed to avoid collision with the wrapper class.
nist_sp_800_53:ProfileDocument	ProfileDocument	skos:exactMatch	oscal_profile:ProfileDocument	ProfileDocument	semapv:LexicalMatching	Same name, same single-slot structure (profile).
nist_sp_800_53:ProfileBody	ProfileBody	skos:exactMatch	oscal_profile:Profile	Profile	semapv:ManualMappingCuration	NIST ProfileBody IS the oscal_profile:Profile object; renamed to avoid collision with the wrapper class.
nist_sp_800_53:BackMatter	BackMatter	skos:exactMatch	oscal_catalog:BackMatter	BackMatter	semapv:LexicalMatching	Same name, same single slot (resources).
nist_sp_800_53:Citation	Citation	skos:exactMatch	oscal_catalog:Citation	Citation	semapv:LexicalMatching	Same name, same single slot (text).
nist_sp_800_53:ResponsibleParty	ResponsibleParty	skos:exactMatch	oscal_catalog:ResponsibleParty	ResponsibleParty	semapv:LexicalMatching	Same name, same slots (role-id, party-uuids).
nist_sp_800_53:ProfileModify	ProfileModify	skos:exactMatch	oscal_profile:ProfileModify	ProfileModify	semapv:LexicalMatching	Same name, same slots (set-parameters, alters).
nist_sp_800_53:ControlGroup	ControlGroup	skos:exactMatch	oscal_catalog:Group	Group	semapv:ManualMappingCuration	NIST ControlGroup is a renamed oscal_catalog:Group; same semantics (control family grouping).
nist_sp_800_53:Guideline	Guideline	skos:exactMatch	oscal_catalog:ParameterGuideline	ParameterGuideline	semapv:ManualMappingCuration	NIST Guideline is a renamed oscal_catalog:ParameterGuideline; same single slot (prose).
nist_sp_800_53:Selection	Selection	skos:exactMatch	oscal_catalog:ParameterSelection	ParameterSelection	semapv:ManualMappingCuration	NIST Selection is a renamed oscal_catalog:ParameterSelection; same slots (how-many, choice).
nist_sp_800_53:ImportResource	ImportResource	skos:exactMatch	oscal_profile:ProfileImport	ProfileImport	semapv:ManualMappingCuration	NIST ImportResource is a renamed oscal_profile:ProfileImport; same slots (href, include-controls, exclude-controls).
nist_sp_800_53:MergeRules	MergeRules	skos:exactMatch	oscal_profile:ProfileMerge	ProfileMerge	semapv:ManualMappingCuration	NIST MergeRules is a renamed oscal_profile:ProfileMerge; same slots (as-is, flat).
nist_sp_800_53:FlatMerge	FlatMerge	skos:exactMatch	oscal_profile:MergeFlat	MergeFlat	semapv:ManualMappingCuration	NIST FlatMerge is a renamed oscal_profile:MergeFlat; same empty marker class.
nist_sp_800_53:ControlPattern	ControlPattern	skos:exactMatch	oscal_catalog:ControlMatching	ControlMatching	semapv:ManualMappingCuration	NIST ControlPattern is a renamed oscal_catalog:ControlMatching; same single slot (pattern).
nist_sp_800_53:ProfileAlter	ProfileAlter	skos:exactMatch	oscal_profile:Alteration	Alteration	semapv:ManualMappingCuration	NIST ProfileAlter is a renamed oscal_profile:Alteration; same slots (control-id, adds).
nist_sp_800_53:ProfileAdd	ProfileAdd	skos:exactMatch	oscal_profile:Addition	Addition	semapv:ManualMappingCuration	NIST ProfileAdd is a renamed oscal_profile:Addition; same slots (position, by-id, parts, props).
nist_sp_800_53:ProfileSetParameter	ProfileSetParameter	skos:exactMatch	oscal_profile:ParameterSetting	ParameterSetting	semapv:ManualMappingCuration	NIST ProfileSetParameter is a renamed oscal_profile:ParameterSetting; same slots (param-id, label).
nist_sp_800_53:Metadata	Metadata	skos:closeMatch	oscal_catalog:Metadata	Metadata	semapv:ManualMappingCuration	Same name and core slots (title, last-modified, version, oscal-version, revisions, roles, parties). NIST adds props/links/responsible-parties/remarks; OSCAL adds published/document-ids/locations/actions.
nist_sp_800_53:Revision	Revision	skos:closeMatch	oscal_catalog:Revision	Revision	semapv:ManualMappingCuration	Same name and core slots. NIST adds links/remarks; OSCAL adds published.
nist_sp_800_53:Role	Role	skos:closeMatch	oscal_catalog:Role	Role	semapv:ManualMappingCuration	Same name. NIST has id/title only; OSCAL adds description/short-name.
nist_sp_800_53:Party	Party	skos:closeMatch	oscal_catalog:Party	Party	semapv:ManualMappingCuration	Same name and core slots. NIST omits external-ids, location-uuids, member-of-organizations, telephone-numbers.
nist_sp_800_53:Address	Address	skos:closeMatch	oscal_catalog:Address	Address	semapv:ManualMappingCuration	Same name and core slots (addr-lines, city, state, postal-code). NIST omits country and type.
nist_sp_800_53:Resource	Resource	skos:closeMatch	oscal_catalog:Resource	Resource	semapv:ManualMappingCuration	Same name and core slots. NIST omits base64, document-ids, props, remarks.
nist_sp_800_53:ResourceLink	ResourceLink	skos:closeMatch	oscal_catalog:ResourceLink	ResourceLink	semapv:ManualMappingCuration	Same name and core slots (href, media-type). NIST omits hashes.
nist_sp_800_53:Link	Link	skos:closeMatch	oscal_catalog:Link	Link	semapv:ManualMappingCuration	Same name and core slots (href, rel). NIST omits media-type, resource-fragment, text.
nist_sp_800_53:Property	Property	skos:closeMatch	oscal_catalog:Property	Property	semapv:ManualMappingCuration	Same name and core slots (name, ns, value, _class). NIST omits group, remarks, uuid.
nist_sp_800_53:Parameter	Parameter	skos:closeMatch	oscal_catalog:Parameter	Parameter	semapv:ManualMappingCuration	Same name and core slots (depends-on, guidelines, select). NIST omits constraints, label, usage, values (id/_class via IdentifiedElement).
